game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/17/2010 00:00:00,0040900407,20100617/BOSLAL,3,Final,1,2010-06-17T00:00:00Z,1900-01-01T21:00:00Z,2010-06-17T21:00:00Z,2010-06-17T04:00:00Z,1900-01-02T02:00:00Z,2010-06-18T01:00:00Z,2010-06-17T21:00:00Z,2010-06-17T18:00:00Z,Thu,6,0,"","",Game 7,LAL wins series 4-3,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,16,7,83,1,1610612738,Celtics,Boston,BOS,celtics,15,9,79,4,2009-10,00,TRUE
06/15/2010 00:00:00,0040900406,20100615/BOSLAL,3,Final,1,2010-06-15T00:00:00Z,1900-01-01T21:00:00Z,2010-06-15T21:00:00Z,2010-06-15T04:00:00Z,1900-01-02T02:00:00Z,2010-06-16T01:00:00Z,2010-06-15T21:00:00Z,2010-06-15T18:00:00Z,Tue,6,0,"","",Game 6,Series tied 3-3,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,15,7,89,1,1610612738,Celtics,Boston,BOS,celtics,15,8,67,4,2009-10,00,TRUE
06/13/2010 00:00:00,0040900405,20100613/LALBOS,3,Final,1,2010-06-13T00:00:00Z,1900-01-01T20:00:00Z,2010-06-13T20:00:00Z,2010-06-13T04:00:00Z,1900-01-02T01:00:00Z,2010-06-14T00:00:00Z,2010-06-13T17:00:00Z,2010-06-13T20:00:00Z,Sun,6,0,"","",Game 5,BOS leads series 3-2,TD Garden,MA,Boston,A,"","",1610612738,Celtics,Boston,BOS,celtics,15,7,92,4,1610612747,Lakers,Los Angeles,LAL,lakers,14,7,86,1,2009-10,00,TRUE
06/10/2010 00:00:00,0040900404,20100610/LALBOS,3,Final,1,2010-06-10T00:00:00Z,1900-01-01T21:00:00Z,2010-06-10T21:00:00Z,2010-06-10T04:00:00Z,1900-01-02T02:00:00Z,2010-06-11T01:00:00Z,2010-06-10T18:00:00Z,2010-06-10T21:00:00Z,Thu,6,0,"","",Game 4,Series tied 2-2,TD Garden,MA,Boston,A,"","",1610612738,Celtics,Boston,BOS,celtics,14,7,96,4,1610612747,Lakers,Los Angeles,LAL,lakers,14,6,89,1,2009-10,00,TRUE
06/08/2010 00:00:00,0040900403,20100608/LALBOS,3,Final,1,2010-06-08T00:00:00Z,1900-01-01T21:00:00Z,2010-06-08T21:00:00Z,2010-06-08T04:00:00Z,1900-01-02T02:00:00Z,2010-06-09T01:00:00Z,2010-06-08T18:00:00Z,2010-06-08T21:00:00Z,Tue,6,0,"","",Game 3,LAL leads series 2-1,TD Garden,MA,Boston,A,"","",1610612738,Celtics,Boston,BOS,celtics,13,7,84,4,1610612747,Lakers,Los Angeles,LAL,lakers,14,5,91,1,2009-10,00,TRUE
06/06/2010 00:00:00,0040900402,20100606/BOSLAL,3,Final,1,2010-06-06T00:00:00Z,1900-01-01T20:00:00Z,2010-06-06T20:00:00Z,2010-06-06T04:00:00Z,1900-01-02T01:00:00Z,2010-06-07T00:00:00Z,2010-06-06T20:00:00Z,2010-06-06T17:00:00Z,Sun,6,0,"","",Game 2,Series tied 1-1,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,13,5,94,1,1610612738,Celtics,Boston,BOS,celtics,13,6,103,4,2009-10,00,TRUE
06/03/2010 00:00:00,0040900401,20100603/BOSLAL,3,Final,1,2010-06-03T00:00:00Z,1900-01-01T21:00:00Z,2010-06-03T21:00:00Z,2010-06-03T04:00:00Z,1900-01-02T02:00:00Z,2010-06-04T01:00:00Z,2010-06-03T21:00:00Z,2010-06-03T18:00:00Z,Thu,6,0,"","",Game 1,LAL leads series 1-0,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,13,4,102,1,1610612738,Celtics,Boston,BOS,celtics,12,6,89,4,2009-10,00,TRUE
05/29/2010 00:00:00,0040900316,20100529/LALPHX,3,Final,1,2010-05-29T00:00:00Z,1900-01-01T20:30:00Z,2010-05-29T20:30:00Z,2010-05-29T04:00:00Z,1900-01-02T01:30:00Z,2010-05-30T00:30:00Z,2010-05-29T17:30:00Z,2010-05-29T17:30:00Z,Sat,5,0,"","",Game 6,LAL wins series 4-2,US Airways Center,AZ,Phoenix,A,"","",1610612756,Suns,Phoenix,PHX,suns,10,6,103,3,1610612747,Lakers,Los Angeles,LAL,lakers,12,4,111,1,2009-10,00,TRUE
05/28/2010 00:00:00,0040900306,20100528/ORLBOS,3,Final,1,2010-05-28T00:00:00Z,1900-01-01T20:30:00Z,2010-05-28T20:30:00Z,2010-05-28T04:00:00Z,1900-01-02T01:30:00Z,2010-05-29T00:30:00Z,2010-05-28T20:30:00Z,2010-05-28T20:30:00Z,Fri,5,0,"","",Game 6,BOS wins series 4-2,TD Garden,MA,Boston,A,"","",1610612738,Celtics,Boston,BOS,celtics,12,5,96,4,1610612753,Magic,Orlando,ORL,magic,10,4,84,2,2009-10,00,TRUE
05/27/2010 00:00:00,0040900315,20100527/PHXLAL,3,Final,1,2010-05-27T00:00:00Z,1900-01-01T21:00:00Z,2010-05-27T21:00:00Z,2010-05-27T04:00:00Z,1900-01-02T02:00:00Z,2010-05-28T01:00:00Z,2010-05-27T18:00:00Z,2010-05-27T18:00:00Z,Thu,5,0,"","",Game 5,LAL leads series 3-2,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,11,4,103,1,1610612756,Suns,Phoenix,PHX,suns,10,5,101,3,2009-10,00,TRUE
