game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
07/20/2021 00:00:00,0042000406,20210720/PHXMIL,3,Final,1,2021-07-20T00:00:00Z,1900-01-01T21:00:00Z,2021-07-20T21:00:00Z,2021-07-20T04:00:00Z,1900-01-02T02:00:00Z,2021-07-21T01:00:00Z,2021-07-20T18:00:00Z,2021-07-20T20:00:00Z,Tue,7,0,"","",Game 6,MIL wins series 4-2,Fiserv Forum,WI,Milwaukee,A,https://app.link.nba.com/GN1F0ILHBhb,"",1610612749,Bucks,Milwaukee,MIL,bucks,4,2,105,3,1610612756,Suns,Phoenix,PHX,suns,2,4,98,2,2020-21,00,TRUE
07/17/2021 00:00:00,0042000405,20210717/MILPHX,3,Final,1,2021-07-17T00:00:00Z,1900-01-01T21:00:00Z,2021-07-17T21:00:00Z,2021-07-17T04:00:00Z,1900-01-02T02:00:00Z,2021-07-18T01:00:00Z,2021-07-17T20:00:00Z,2021-07-17T18:00:00Z,Sat,7,0,"","",Game 5,MIL leads series 3-2,Footprint Center,AZ,Phoenix,A,https://app.link.nba.com/TpNpmILHBhb,"",1610612756,Suns,Phoenix,PHX,suns,2,3,119,2,1610612749,Bucks,Milwaukee,MIL,bucks,3,2,123,3,2020-21,00,TRUE
07/14/2021 00:00:00,0042000404,20210714/PHXMIL,3,Final,1,2021-07-14T00:00:00Z,1900-01-01T21:00:00Z,2021-07-14T21:00:00Z,2021-07-14T04:00:00Z,1900-01-02T02:00:00Z,2021-07-15T01:00:00Z,2021-07-14T18:00:00Z,2021-07-14T20:00:00Z,Wed,7,0,"","",Game 4,Series tied 2-2,Fiserv Forum,WI,Milwaukee,A,https://app.link.nba.com/wkBpLHLHBhb,"",1610612749,Bucks,Milwaukee,MIL,bucks,2,2,109,3,1610612756,Suns,Phoenix,PHX,suns,2,2,103,2,2020-21,00,TRUE
07/11/2021 00:00:00,0042000403,20210711/PHXMIL,3,Final,1,2021-07-11T00:00:00Z,1900-01-01T20:00:00Z,2021-07-11T20:00:00Z,2021-07-11T04:00:00Z,1900-01-02T01:00:00Z,2021-07-12T00:00:00Z,2021-07-11T17:00:00Z,2021-07-11T19:00:00Z,Sun,7,0,"","",Game 3,PHX leads series 2-1,Fiserv Forum,WI,Milwaukee,A,https://app.link.nba.com/W6hTYGLHBhb,"",1610612749,Bucks,Milwaukee,MIL,bucks,1,2,120,3,1610612756,Suns,Phoenix,PHX,suns,2,1,100,2,2020-21,00,TRUE
07/08/2021 00:00:00,0042000402,20210708/MILPHX,3,Final,1,2021-07-08T00:00:00Z,1900-01-01T21:00:00Z,2021-07-08T21:00:00Z,2021-07-08T04:00:00Z,1900-01-02T02:00:00Z,2021-07-09T01:00:00Z,2021-07-08T20:00:00Z,2021-07-08T18:00:00Z,Thu,7,0,"","",Game 2,PHX leads series 2-0,Phoenix Suns Arena,AZ,Phoenix,A,https://app.link.nba.com/h6DNnGLHBhb,"",1610612756,Suns,Phoenix,PHX,suns,2,0,118,2,1610612749,Bucks,Milwaukee,MIL,bucks,0,2,108,3,2020-21,00,TRUE
07/06/2021 00:00:00,0042000401,20210706/MILPHX,3,Final,1,2021-07-06T00:00:00Z,1900-01-01T21:00:00Z,2021-07-06T21:00:00Z,2021-07-06T04:00:00Z,1900-01-02T02:00:00Z,2021-07-07T01:00:00Z,2021-07-06T20:00:00Z,2021-07-06T18:00:00Z,Tue,7,0,"","",Game 1,PHX leads series 1-0,Phoenix Suns Arena,AZ,Phoenix,A,https://app.link.nba.com/tgavOFLHBhb,"",1610612756,Suns,Phoenix,PHX,suns,1,0,118,2,1610612749,Bucks,Milwaukee,MIL,bucks,0,1,105,3,2020-21,00,TRUE
07/03/2021 00:00:00,0042000306,20210703/MILATL,3,Final,1,2021-07-03T00:00:00Z,1900-01-01T20:30:00Z,2021-07-03T20:30:00Z,2021-07-03T04:00:00Z,1900-01-02T01:30:00Z,2021-07-04T00:30:00Z,2021-07-03T19:30:00Z,2021-07-03T20:30:00Z,Sat,7,0,"","",Game 6,MIL wins series 4-2,State Farm Arena,GA,Atlanta,A,https://app.link.nba.com/FVjVVmIpdhb,"",1610612737,Hawks,Atlanta,ATL,hawks,2,4,107,5,1610612749,Bucks,Milwaukee,MIL,bucks,4,2,118,3,2020-21,00,TRUE
07/01/2021 00:00:00,0042000305,20210701/ATLMIL,3,Final,1,2021-07-01T00:00:00Z,1900-01-01T20:30:00Z,2021-07-01T20:30:00Z,2021-07-01T04:00:00Z,1900-01-02T01:30:00Z,2021-07-02T00:30:00Z,2021-07-01T20:30:00Z,2021-07-01T19:30:00Z,Thu,7,0,"","",Game 5,MIL leads series 3-2,Fiserv Forum,WI,Milwaukee,A,https://app.link.nba.com/2ax4hmIpdhb,"",1610612749,Bucks,Milwaukee,MIL,bucks,3,2,123,3,1610612737,Hawks,Atlanta,ATL,hawks,2,3,112,5,2020-21,00,TRUE
06/30/2021 00:00:00,0042000316,20210630/PHXLAC,3,Final,1,2021-06-30T00:00:00Z,1900-01-01T21:00:00Z,2021-06-30T21:00:00Z,2021-06-30T04:00:00Z,1900-01-02T02:00:00Z,2021-07-01T01:00:00Z,2021-06-30T18:00:00Z,2021-06-30T18:00:00Z,Wed,6,0,"","",Game 6,PHX wins series 4-2,STAPLES Center,CA,Los Angeles,A,https://app.link.nba.com/ztvznoGVchb,"",1610612746,Clippers,LA,LAC,clippers,2,4,103,4,1610612756,Suns,Phoenix,PHX,suns,4,2,130,2,2020-21,00,TRUE
06/29/2021 00:00:00,0042000304,20210629/MILATL,3,Final,1,2021-06-29T00:00:00Z,1900-01-01T20:30:00Z,2021-06-29T20:30:00Z,2021-06-29T04:00:00Z,1900-01-02T01:30:00Z,2021-06-30T00:30:00Z,2021-06-29T19:30:00Z,2021-06-29T20:30:00Z,Tue,6,0,"","",Game 4,Series tied 2-2,State Farm Arena,GA,Atlanta,A,https://app.link.nba.com/Q2LcFlIpdhb,"",1610612737,Hawks,Atlanta,ATL,hawks,2,2,110,5,1610612749,Bucks,Milwaukee,MIL,bucks,2,2,88,3,2020-21,00,TRUE
06/28/2021 00:00:00,0042000315,20210628/LACPHX,3,Final,1,2021-06-28T00:00:00Z,1900-01-01T21:00:00Z,2021-06-28T21:00:00Z,2021-06-28T04:00:00Z,1900-01-02T02:00:00Z,2021-06-29T01:00:00Z,2021-06-28T18:00:00Z,2021-06-28T18:00:00Z,Mon,6,0,"","",Game 5,PHX leads series 3-2,Phoenix Suns Arena,AZ,Phoenix,A,https://app.link.nba.com/JdMqnnGVchb,"",1610612756,Suns,Phoenix,PHX,suns,3,2,102,2,1610612746,Clippers,LA,LAC,clippers,2,3,116,4,2020-21,00,TRUE
