game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/15/2004 00:00:00,0040300405,20040615/LALDET,3,Final,1,2004-06-15T00:00:00Z,1900-01-01T21:00:00Z,2004-06-15T21:00:00Z,2004-06-15T04:00:00Z,1900-01-02T02:00:00Z,2004-06-16T01:00:00Z,2004-06-15T18:00:00Z,2004-06-15T21:00:00Z,Tue,6,0,"","",Game 5,DET wins series 4-1,Palace of Auburn Hills,MI,Detroit,A,"","",1610612765,Pistons,Detroit,DET,pistons,4,1,100,3,1610612747,Lakers,Los Angeles,LAL,lakers,1,4,87,2,2003-04,00,TRUE
06/13/2004 00:00:00,0040300404,20040613/LALDET,3,Final,1,2004-06-13T00:00:00Z,1900-01-01T21:00:00Z,2004-06-13T21:00:00Z,2004-06-13T04:00:00Z,1900-01-02T02:00:00Z,2004-06-14T01:00:00Z,2004-06-13T18:00:00Z,2004-06-13T21:00:00Z,Sun,6,0,"","",Game 4,DET leads series 3-1,Palace of Auburn Hills,MI,Detroit,A,"","",1610612765,Pistons,Detroit,DET,pistons,3,1,88,3,1610612747,Lakers,Los Angeles,LAL,lakers,1,3,80,2,2003-04,00,TRUE
06/10/2004 00:00:00,0040300403,20040610/LALDET,3,Final,1,2004-06-10T00:00:00Z,1900-01-01T21:00:00Z,2004-06-10T21:00:00Z,2004-06-10T04:00:00Z,1900-01-02T02:00:00Z,2004-06-11T01:00:00Z,2004-06-10T18:00:00Z,2004-06-10T21:00:00Z,Thu,6,0,"","",Game 3,DET leads series 2-1,Palace of Auburn Hills,MI,Detroit,A,"","",1610612765,Pistons,Detroit,DET,pistons,2,1,88,3,1610612747,Lakers,Los Angeles,LAL,lakers,1,2,68,2,2003-04,00,TRUE
06/08/2004 00:00:00,0040300402,20040608/DETLAL,3,Final/OT,1,2004-06-08T00:00:00Z,1900-01-01T21:00:00Z,2004-06-08T21:00:00Z,2004-06-08T04:00:00Z,1900-01-02T02:00:00Z,2004-06-09T01:00:00Z,2004-06-08T21:00:00Z,2004-06-08T18:00:00Z,Tue,6,0,"","",Game 2,Series tied 1-1,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,1,1,99,2,1610612765,Pistons,Detroit,DET,pistons,1,1,91,3,2003-04,00,TRUE
06/06/2004 00:00:00,0040300401,20040606/DETLAL,3,Final,1,2004-06-06T00:00:00Z,1900-01-01T21:00:00Z,2004-06-06T21:00:00Z,2004-06-06T04:00:00Z,1900-01-02T02:00:00Z,2004-06-07T01:00:00Z,2004-06-06T21:00:00Z,2004-06-06T18:00:00Z,Sun,6,0,"","",Game 1,DET leads series 1-0,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,0,1,75,2,1610612765,Pistons,Detroit,DET,pistons,1,0,87,3,2003-04,00,TRUE
06/01/2004 00:00:00,0040300306,20040601/INDDET,3,Final,1,2004-06-01T00:00:00Z,1900-01-01T20:00:00Z,2004-06-01T20:00:00Z,2004-06-01T04:00:00Z,1900-01-02T01:00:00Z,2004-06-02T00:00:00Z,2004-06-01T20:00:00Z,2004-06-01T20:00:00Z,Tue,6,0,"","",Game 6,DET wins series 4-2,Palace of Auburn Hills,MI,Detroit,A,"","",1610612765,Pistons,Detroit,DET,pistons,4,2,69,3,1610612754,Pacers,Indiana,IND,pacers,2,4,65,1,2003-04,00,TRUE
05/31/2004 00:00:00,0040300316,20040531/MINLAL,3,Final,1,2004-05-31T00:00:00Z,1900-01-01T21:00:00Z,2004-05-31T21:00:00Z,2004-05-31T04:00:00Z,1900-01-02T02:00:00Z,2004-06-01T01:00:00Z,2004-05-31T20:00:00Z,2004-05-31T18:00:00Z,Mon,5,0,"","",Game 6,LAL wins series 4-2,STAPLES Center,CA,Los Angeles,A,"","",1610612747,Lakers,Los Angeles,LAL,lakers,4,2,96,2,1610612750,Timberwolves,Minnesota,MIN,timberwolves,2,4,90,1,2003-04,00,TRUE
05/30/2004 00:00:00,0040300305,20040530/DETIND,3,Final,1,2004-05-30T00:00:00Z,1900-01-01T20:00:00Z,2004-05-30T20:00:00Z,2004-05-30T04:00:00Z,1900-01-02T01:00:00Z,2004-05-31T00:00:00Z,2004-05-30T20:00:00Z,2004-05-30T20:00:00Z,Sun,5,0,"","",Game 5,DET leads series 3-2,Bankers Life Fieldhouse,IN,Indianapolis,A,"","",1610612754,Pacers,Indiana,IND,pacers,2,3,65,1,1610612765,Pistons,Detroit,DET,pistons,3,2,83,3,2003-04,00,TRUE
05/29/2004 00:00:00,0040300315,20040529/LALMIN,3,Final,1,2004-05-29T00:00:00Z,1900-01-01T20:30:00Z,2004-05-29T20:30:00Z,2004-05-29T04:00:00Z,1900-01-02T01:30:00Z,2004-05-30T00:30:00Z,2004-05-29T17:30:00Z,2004-05-29T19:30:00Z,Sat,5,0,"","",Game 5,LAL leads series 3-2,Target Center,MN,Minneapolis,A,"","",1610612750,Timberwolves,Minnesota,MIN,timberwolves,2,3,98,1,1610612747,Lakers,Los Angeles,LAL,lakers,3,2,96,2,2003-04,00,TRUE
05/28/2004 00:00:00,0040300304,20040528/INDDET,3,Final,1,2004-05-28T00:00:00Z,1900-01-01T20:00:00Z,2004-05-28T20:00:00Z,2004-05-28T04:00:00Z,1900-01-02T01:00:00Z,2004-05-29T00:00:00Z,2004-05-28T20:00:00Z,2004-05-28T20:00:00Z,Fri,5,0,"","",Game 4,Series tied 2-2,Palace of Auburn Hills,MI,Detroit,A,"","",1610612765,Pistons,Detroit,DET,pistons,2,2,68,3,1610612754,Pacers,Indiana,IND,pacers,2,2,83,1,2003-04,00,TRUE
