game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/14/1998 00:00:00,0049700088,19980614/CHIUTA,3,Final,1,1998-06-14T00:00:00Z,1900-01-01T19:30:00Z,1998-06-14T19:30:00Z,1998-06-14T04:00:00Z,1900-01-02T00:30:00Z,1998-06-14T23:30:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Sun,6,0,"","",Game 8,CHI wins series 4-2,EnergySolutions Arena,UT,Salt Lake City,A,"","",1610612762,Jazz,Utah,UTA,jazz,2,4,86,1,1610612741,Bulls,Chicago,CHI,bulls,4,2,87,1,1997-98,00,TRUE
06/12/1998 00:00:00,0049700087,19980612/UTACHI,3,Final,1,1998-06-12T00:00:00Z,1900-01-01T21:00:00Z,1998-06-12T21:00:00Z,1998-06-12T04:00:00Z,1900-01-02T02:00:00Z,1998-06-13T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Fri,6,0,"","",Game 7,CHI leads series 3-2,United Center,IL,Chicago,A,"","",1610612741,Bulls,Chicago,CHI,bulls,4,2,81,1,1610612762,Jazz,Utah,UTA,jazz,2,4,83,1,1997-98,00,TRUE
06/10/1998 00:00:00,0049700086,19980610/UTACHI,3,Final,1,1998-06-10T00:00:00Z,1900-01-01T21:00:00Z,1998-06-10T21:00:00Z,1998-06-10T04:00:00Z,1900-01-02T02:00:00Z,1998-06-11T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Wed,6,0,"","",Game 6,CHI leads series 3-1,United Center,IL,Chicago,A,"","",1610612741,Bulls,Chicago,CHI,bulls,4,2,86,1,1610612762,Jazz,Utah,UTA,jazz,2,4,82,1,1997-98,00,TRUE
06/07/1998 00:00:00,0049700085,19980607/UTACHI,3,Final,1,1998-06-07T00:00:00Z,1900-01-01T19:30:00Z,1998-06-07T19:30:00Z,1998-06-07T04:00:00Z,1900-01-02T00:30:00Z,1998-06-07T23:30:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Sun,6,0,"","",Game 5,CHI leads series 2-1,United Center,IL,Chicago,A,"","",1610612741,Bulls,Chicago,CHI,bulls,4,2,96,1,1610612762,Jazz,Utah,UTA,jazz,2,4,54,1,1997-98,00,TRUE
06/05/1998 00:00:00,0049700084,19980605/CHIUTA,3,Final,1,1998-06-05T00:00:00Z,1900-01-01T21:00:00Z,1998-06-05T21:00:00Z,1998-06-05T04:00:00Z,1900-01-02T02:00:00Z,1998-06-06T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Fri,6,0,"","",Game 4,Series tied 1-1,EnergySolutions Arena,UT,Salt Lake City,A,"","",1610612762,Jazz,Utah,UTA,jazz,2,4,88,1,1610612741,Bulls,Chicago,CHI,bulls,4,2,93,1,1997-98,00,TRUE
06/03/1998 00:00:00,0049700083,19980603/CHIUTA,3,Final/OT,1,1998-06-03T00:00:00Z,1900-01-01T21:00:00Z,1998-06-03T21:00:00Z,1998-06-03T04:00:00Z,1900-01-02T02:00:00Z,1998-06-04T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Wed,6,0,"","",Game 3,UTA leads series 1-0,EnergySolutions Arena,UT,Salt Lake City,A,"","",1610612762,Jazz,Utah,UTA,jazz,2,4,88,1,1610612741,Bulls,Chicago,CHI,bulls,4,2,85,1,1997-98,00,TRUE
05/31/1998 00:00:00,0049700082,19980531/INDCHI,3,Final,1,1998-05-31T00:00:00Z,1900-01-01T19:30:00Z,1998-05-31T19:30:00Z,1998-05-31T04:00:00Z,1900-01-02T00:30:00Z,1998-05-31T23:30:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Sun,5,0,"","",Game 2,CHI wins series 4-3,United Center,IL,Chicago,A,"","",1610612741,Bulls,Chicago,CHI,bulls,4,3,88,1,1610612754,Pacers,Indiana,IND,pacers,3,4,83,3,1997-98,00,TRUE
05/29/1998 00:00:00,0049700080,19980529/CHIIND,3,Final,1,1998-05-29T00:00:00Z,1900-01-01T21:00:00Z,1998-05-29T21:00:00Z,1998-05-29T04:00:00Z,1900-01-02T02:00:00Z,1998-05-30T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Fri,5,0,"","",Game 0,Series tied 3-3,Market Square Arena,IN,Indianapolis,A,"","",1610612754,Pacers,Indiana,IND,pacers,3,4,92,3,1610612741,Bulls,Chicago,CHI,bulls,4,3,89,1,1997-98,00,TRUE
05/27/1998 00:00:00,0049700078,19980527/INDCHI,3,Final,1,1998-05-27T00:00:00Z,1900-01-01T21:00:00Z,1998-05-27T21:00:00Z,1998-05-27T04:00:00Z,1900-01-02T02:00:00Z,1998-05-28T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Wed,5,0,"","",Game 8,CHI leads series 3-2,United Center,IL,Chicago,A,"","",1610612741,Bulls,Chicago,CHI,bulls,4,3,106,1,1610612754,Pacers,Indiana,IND,pacers,3,4,87,3,1997-98,00,TRUE
05/25/1998 00:00:00,0049700076,19980525/CHIIND,3,Final,1,1998-05-25T00:00:00Z,1900-01-01T15:30:00Z,1998-05-25T15:30:00Z,1998-05-25T04:00:00Z,1900-01-01T20:30:00Z,1998-05-25T19:30:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Mon,5,0,"","",Game 6,Series tied 2-2,Market Square Arena,IN,Indianapolis,A,"","",1610612754,Pacers,Indiana,IND,pacers,3,4,96,3,1610612741,Bulls,Chicago,CHI,bulls,4,3,94,1,1997-98,00,TRUE
