game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/25/1999 00:00:00,0049800087,19990625/SASNYK,3,Final,1,1999-06-25T00:00:00Z,1900-01-01T21:00:00Z,1999-06-25T21:00:00Z,1999-06-25T04:00:00Z,1900-01-02T02:00:00Z,1999-06-26T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Fri,6,0,"","",Game 7,SAS wins series 4-1,Madison Square Garden,NY,New York,A,"","",1610612752,Knicks,New York,NYK,knicks,1,4,77,8,1610612759,Spurs,San Antonio,SAS,spurs,4,1,78,1,1998-99,00,TRUE
06/23/1999 00:00:00,0049800086,19990623/SASNYK,3,Final,1,1999-06-23T00:00:00Z,1900-01-01T21:00:00Z,1999-06-23T21:00:00Z,1999-06-23T04:00:00Z,1900-01-02T02:00:00Z,1999-06-24T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Wed,6,0,"","",Game 6,SAS leads series 3-1,Madison Square Garden,NY,New York,A,"","",1610612752,Knicks,New York,NYK,knicks,1,4,89,8,1610612759,Spurs,San Antonio,SAS,spurs,4,1,96,1,1998-99,00,TRUE
06/21/1999 00:00:00,0049800085,19990621/SASNYK,3,Final,1,1999-06-21T00:00:00Z,1900-01-01T21:00:00Z,1999-06-21T21:00:00Z,1999-06-21T04:00:00Z,1900-01-02T02:00:00Z,1999-06-22T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Mon,6,0,"","",Game 5,SAS leads series 2-1,Madison Square Garden,NY,New York,A,"","",1610612752,Knicks,New York,NYK,knicks,1,4,89,8,1610612759,Spurs,San Antonio,SAS,spurs,4,1,81,1,1998-99,00,TRUE
06/18/1999 00:00:00,0049800084,19990618/NYKSAS,3,Final,1,1999-06-18T00:00:00Z,1900-01-01T21:00:00Z,1999-06-18T21:00:00Z,1999-06-18T04:00:00Z,1900-01-02T02:00:00Z,1999-06-19T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Fri,6,0,"","",Game 4,SAS leads series 2-0,Alamodome,TX,San Antonio,A,"","",1610612759,Spurs,San Antonio,SAS,spurs,4,1,80,1,1610612752,Knicks,New York,NYK,knicks,1,4,67,8,1998-99,00,TRUE
06/16/1999 00:00:00,0049800083,19990616/NYKSAS,3,Final,1,1999-06-16T00:00:00Z,1900-01-01T21:00:00Z,1999-06-16T21:00:00Z,1999-06-16T04:00:00Z,1900-01-02T02:00:00Z,1999-06-17T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Wed,6,0,"","",Game 3,SAS leads series 1-0,Alamodome,TX,San Antonio,A,"","",1610612759,Spurs,San Antonio,SAS,spurs,4,1,89,1,1610612752,Knicks,New York,NYK,knicks,1,4,77,8,1998-99,00,TRUE
06/11/1999 00:00:00,0049800074,19990611/INDNYK,3,Final,1,1999-06-11T00:00:00Z,1900-01-01T21:00:00Z,1999-06-11T21:00:00Z,1999-06-11T04:00:00Z,1900-01-02T02:00:00Z,1999-06-12T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Fri,6,0,"","",Game 4,NYK wins series 4-2,Madison Square Garden,NY,New York,A,"","",1610612752,Knicks,New York,NYK,knicks,4,2,90,8,1610612754,Pacers,Indiana,IND,pacers,2,4,82,1,1998-99,00,TRUE
06/09/1999 00:00:00,0049800073,19990609/NYKIND,3,Final,1,1999-06-09T00:00:00Z,1900-01-01T21:00:00Z,1999-06-09T21:00:00Z,1999-06-09T04:00:00Z,1900-01-02T02:00:00Z,1999-06-10T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Wed,6,0,"","",Game 3,NYK leads series 3-2,Market Square Arena,IN,Indianapolis,A,"","",1610612754,Pacers,Indiana,IND,pacers,2,4,94,1,1610612752,Knicks,New York,NYK,knicks,4,2,101,8,1998-99,00,TRUE
06/07/1999 00:00:00,0049800072,19990607/INDNYK,3,Final,1,1999-06-07T00:00:00Z,1900-01-01T21:00:00Z,1999-06-07T21:00:00Z,1999-06-07T04:00:00Z,1900-01-02T02:00:00Z,1999-06-08T01:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Mon,6,0,"","",Game 2,Series tied 2-2,Madison Square Garden,NY,New York,A,"","",1610612752,Knicks,New York,NYK,knicks,4,2,78,8,1610612754,Pacers,Indiana,IND,pacers,2,4,90,1,1998-99,00,TRUE
06/06/1999 00:00:00,0049800079,19990606/SASPOR,3,Final,1,1999-06-06T00:00:00Z,1900-01-01T18:30:00Z,1999-06-06T18:30:00Z,1999-06-06T04:00:00Z,1900-01-01T23:30:00Z,1999-06-06T22:30:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Sun,6,0,"","",Game 9,SAS wins series 4-0,Moda Center,OR,Portland,A,"","",1610612757,Trail Blazers,Portland,POR,blazers,0,4,80,3,1610612759,Spurs,San Antonio,SAS,spurs,4,0,94,1,1998-99,00,TRUE
06/05/1999 00:00:00,0049800071,19990605/INDNYK,3,Final,1,1999-06-05T00:00:00Z,1900-01-01T18:30:00Z,1999-06-05T18:30:00Z,1999-06-05T04:00:00Z,1900-01-01T23:30:00Z,1999-06-05T22:30:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,Sat,6,0,"","",Game 1,NYK leads series 2-1,Madison Square Garden,NY,New York,A,"","",1610612752,Knicks,New York,NYK,knicks,4,2,92,8,1610612754,Pacers,Indiana,IND,pacers,2,4,91,1,1998-99,00,TRUE
