game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/21/2012 00:00:00,0041100405,20120621/OKCMIA,3,Final,1,2012-06-21T00:00:00Z,1900-01-01T21:00:00Z,2012-06-21T21:00:00Z,2012-06-21T04:00:00Z,1900-01-02T02:00:00Z,2012-06-22T01:00:00Z,2012-06-21T20:00:00Z,2012-06-21T21:00:00Z,Thu,6,0,"","",Game 5,MIA wins series 4-1,AmericanAirlines Arena,FL,Miami,A,"","",1610612748,Heat,Miami,MIA,heat,16,7,121,2,1610612760,Thunder,Oklahoma City,OKC,thunder,13,7,106,2,2011-12,00,TRUE
06/19/2012 00:00:00,0041100404,20120619/OKCMIA,3,Final,1,2012-06-19T00:00:00Z,1900-01-01T21:00:00Z,2012-06-19T21:00:00Z,2012-06-19T04:00:00Z,1900-01-02T02:00:00Z,2012-06-20T01:00:00Z,2012-06-19T20:00:00Z,2012-06-19T21:00:00Z,Tue,6,0,"","",Game 4,MIA leads series 3-1,AmericanAirlines Arena,FL,Miami,A,"","",1610612748,Heat,Miami,MIA,heat,15,7,104,2,1610612760,Thunder,Oklahoma City,OKC,thunder,13,6,98,2,2011-12,00,TRUE
06/17/2012 00:00:00,0041100403,20120617/OKCMIA,3,Final,1,2012-06-17T00:00:00Z,1900-01-01T20:00:00Z,2012-06-17T20:00:00Z,2012-06-17T04:00:00Z,1900-01-02T01:00:00Z,2012-06-18T00:00:00Z,2012-06-17T19:00:00Z,2012-06-17T20:00:00Z,Sun,6,0,"","",Game 3,MIA leads series 2-1,AmericanAirlines Arena,FL,Miami,A,"","",1610612748,Heat,Miami,MIA,heat,14,7,91,2,1610612760,Thunder,Oklahoma City,OKC,thunder,13,5,85,2,2011-12,00,TRUE
06/14/2012 00:00:00,0041100402,20120614/MIAOKC,3,Final,1,2012-06-14T00:00:00Z,1900-01-01T21:00:00Z,2012-06-14T21:00:00Z,2012-06-14T04:00:00Z,1900-01-02T02:00:00Z,2012-06-15T01:00:00Z,2012-06-14T21:00:00Z,2012-06-14T20:00:00Z,Thu,6,0,"","",Game 2,Series tied 1-1,Chesapeake Energy Arena,OK,Oklahoma City,A,"","",1610612760,Thunder,Oklahoma City,OKC,thunder,13,4,96,2,1610612748,Heat,Miami,MIA,heat,13,7,100,2,2011-12,00,TRUE
06/12/2012 00:00:00,0041100401,20120612/MIAOKC,3,Final,1,2012-06-12T00:00:00Z,1900-01-01T21:00:00Z,2012-06-12T21:00:00Z,2012-06-12T04:00:00Z,1900-01-02T02:00:00Z,2012-06-13T01:00:00Z,2012-06-12T21:00:00Z,2012-06-12T20:00:00Z,Tue,6,0,"","",Game 1,OKC leads series 1-0,Chesapeake Energy Arena,OK,Oklahoma City,A,"","",1610612760,Thunder,Oklahoma City,OKC,thunder,13,3,105,2,1610612748,Heat,Miami,MIA,heat,12,7,94,2,2011-12,00,TRUE
06/09/2012 00:00:00,0041100307,20120609/BOSMIA,3,Final,1,2012-06-09T00:00:00Z,1900-01-01T20:30:00Z,2012-06-09T20:30:00Z,2012-06-09T04:00:00Z,1900-01-02T01:30:00Z,2012-06-10T00:30:00Z,2012-06-09T20:30:00Z,2012-06-09T20:30:00Z,Sat,6,0,"","",Game 7,MIA wins series 4-3,AmericanAirlines Arena,FL,Miami,A,"","",1610612748,Heat,Miami,MIA,heat,12,6,101,2,1610612738,Celtics,Boston,BOS,celtics,11,9,88,4,2011-12,00,TRUE
06/07/2012 00:00:00,0041100306,20120607/MIABOS,3,Final,1,2012-06-07T00:00:00Z,1900-01-01T20:30:00Z,2012-06-07T20:30:00Z,2012-06-07T04:00:00Z,1900-01-02T01:30:00Z,2012-06-08T00:30:00Z,2012-06-07T20:30:00Z,2012-06-07T20:30:00Z,Thu,6,0,"","",Game 6,Series tied 3-3,TD Garden,MA,Boston,A,"","",1610612738,Celtics,Boston,BOS,celtics,11,8,79,4,1610612748,Heat,Miami,MIA,heat,11,6,98,2,2011-12,00,TRUE
06/06/2012 00:00:00,0041100316,20120606/SASOKC,3,Final,1,2012-06-06T00:00:00Z,1900-01-01T21:00:00Z,2012-06-06T21:00:00Z,2012-06-06T04:00:00Z,1900-01-02T02:00:00Z,2012-06-07T01:00:00Z,2012-06-06T20:00:00Z,2012-06-06T20:00:00Z,Wed,6,0,"","",Game 6,OKC wins series 4-2,Chesapeake Energy Arena,OK,Oklahoma City,A,"","",1610612760,Thunder,Oklahoma City,OKC,thunder,12,3,107,2,1610612759,Spurs,San Antonio,SAS,spurs,10,4,99,1,2011-12,00,TRUE
06/05/2012 00:00:00,0041100305,20120605/BOSMIA,3,Final,1,2012-06-05T00:00:00Z,1900-01-01T20:30:00Z,2012-06-05T20:30:00Z,2012-06-05T04:00:00Z,1900-01-02T01:30:00Z,2012-06-06T00:30:00Z,2012-06-05T20:30:00Z,2012-06-05T20:30:00Z,Tue,6,0,"","",Game 5,BOS leads series 3-2,AmericanAirlines Arena,FL,Miami,A,"","",1610612748,Heat,Miami,MIA,heat,10,6,90,2,1610612738,Celtics,Boston,BOS,celtics,11,7,94,4,2011-12,00,TRUE
06/04/2012 00:00:00,0041100315,20120604/OKCSAS,3,Final,1,2012-06-04T00:00:00Z,1900-01-01T21:00:00Z,2012-06-04T21:00:00Z,2012-06-04T04:00:00Z,1900-01-02T02:00:00Z,2012-06-05T01:00:00Z,2012-06-04T20:00:00Z,2012-06-04T20:00:00Z,Mon,6,0,"","",Game 5,OKC leads series 3-2,AT&T Center,TX,San Antonio,A,"","",1610612759,Spurs,San Antonio,SAS,spurs,10,3,103,1,1610612760,Thunder,Oklahoma City,OKC,thunder,11,3,108,2,2011-12,00,TRUE
