game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/19/2016 00:00:00,0041500407,20160619/CLEGSW,3,Final,1,2016-06-19T00:00:00Z,1900-01-01T20:00:00Z,2016-06-19T20:00:00Z,2016-06-19T04:00:00Z,1900-01-02T01:00:00Z,2016-06-20T00:00:00Z,2016-06-19T20:00:00Z,2016-06-19T17:00:00Z,Sun,6,0,"","",Game 7,CLE wins series 4-3,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,3,4,89,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,4,3,93,1,2015-16,00,TRUE
06/16/2016 00:00:00,0041500406,20160616/GSWCLE,3,Final,1,2016-06-16T00:00:00Z,1900-01-01T21:00:00Z,2016-06-16T21:00:00Z,2016-06-16T04:00:00Z,1900-01-02T02:00:00Z,2016-06-17T01:00:00Z,2016-06-16T18:00:00Z,2016-06-16T21:00:00Z,Thu,6,0,"","",Game 6,Series tied 3-3,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,3,3,115,1,1610612744,Warriors,Golden State,GSW,warriors,3,3,101,1,2015-16,00,TRUE
06/13/2016 00:00:00,0041500405,20160613/CLEGSW,3,Final,1,2016-06-13T00:00:00Z,1900-01-01T21:00:00Z,2016-06-13T21:00:00Z,2016-06-13T04:00:00Z,1900-01-02T02:00:00Z,2016-06-14T01:00:00Z,2016-06-13T21:00:00Z,2016-06-13T18:00:00Z,Mon,6,0,"","",Game 5,GSW leads series 3-2,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,3,2,97,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,2,3,112,1,2015-16,00,TRUE
06/10/2016 00:00:00,0041500404,20160610/GSWCLE,3,Final,1,2016-06-10T00:00:00Z,1900-01-01T21:00:00Z,2016-06-10T21:00:00Z,2016-06-10T04:00:00Z,1900-01-02T02:00:00Z,2016-06-11T01:00:00Z,2016-06-10T18:00:00Z,2016-06-10T21:00:00Z,Fri,6,0,"","",Game 4,GSW leads series 3-1,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,1,3,97,1,1610612744,Warriors,Golden State,GSW,warriors,3,1,108,1,2015-16,00,TRUE
06/08/2016 00:00:00,0041500403,20160608/GSWCLE,3,Final,1,2016-06-08T00:00:00Z,1900-01-01T21:00:00Z,2016-06-08T21:00:00Z,2016-06-08T04:00:00Z,1900-01-02T02:00:00Z,2016-06-09T01:00:00Z,2016-06-08T18:00:00Z,2016-06-08T21:00:00Z,Wed,6,0,"","",Game 3,GSW leads series 2-1,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,1,2,120,1,1610612744,Warriors,Golden State,GSW,warriors,2,1,90,1,2015-16,00,TRUE
06/05/2016 00:00:00,0041500402,20160605/CLEGSW,3,Final,1,2016-06-05T00:00:00Z,1900-01-01T20:00:00Z,2016-06-05T20:00:00Z,2016-06-05T04:00:00Z,1900-01-02T01:00:00Z,2016-06-06T00:00:00Z,2016-06-05T20:00:00Z,2016-06-05T17:00:00Z,Sun,6,0,"","",Game 2,GSW leads series 2-0,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,2,0,110,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,0,2,77,1,2015-16,00,TRUE
06/02/2016 00:00:00,0041500401,20160602/CLEGSW,3,Final,1,2016-06-02T00:00:00Z,1900-01-01T21:00:00Z,2016-06-02T21:00:00Z,2016-06-02T04:00:00Z,1900-01-02T02:00:00Z,2016-06-03T01:00:00Z,2016-06-02T21:00:00Z,2016-06-02T18:00:00Z,Thu,6,0,"","",Game 1,GSW leads series 1-0,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,1,0,104,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,0,1,89,1,2015-16,00,TRUE
05/30/2016 00:00:00,0041500317,20160530/OKCGSW,3,Final,1,2016-05-30T00:00:00Z,1900-01-01T21:00:00Z,2016-05-30T21:00:00Z,2016-05-30T04:00:00Z,1900-01-02T02:00:00Z,2016-05-31T01:00:00Z,2016-05-30T20:00:00Z,2016-05-30T18:00:00Z,Mon,5,0,"","",Game 7,GSW wins series 4-3,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,4,3,96,1,1610612760,Thunder,Oklahoma City,OKC,thunder,3,4,88,3,2015-16,00,TRUE
05/28/2016 00:00:00,0041500316,20160528/GSWOKC,3,Final,1,2016-05-28T00:00:00Z,1900-01-01T21:00:00Z,2016-05-28T21:00:00Z,2016-05-28T04:00:00Z,1900-01-02T02:00:00Z,2016-05-29T01:00:00Z,2016-05-28T18:00:00Z,2016-05-28T20:00:00Z,Sat,5,0,"","",Game 6,Series tied 3-3,Chesapeake Energy Arena,OK,Oklahoma City,A,"","",1610612760,Thunder,Oklahoma City,OKC,thunder,3,3,101,3,1610612744,Warriors,Golden State,GSW,warriors,3,3,108,1,2015-16,00,TRUE
05/27/2016 00:00:00,0041500306,20160527/CLETOR,3,Final,1,2016-05-27T00:00:00Z,1900-01-01T20:30:00Z,2016-05-27T20:30:00Z,2016-05-27T04:00:00Z,1900-01-02T01:30:00Z,2016-05-28T00:30:00Z,2016-05-27T20:30:00Z,2016-05-27T20:30:00Z,Fri,5,0,"","",Game 6,CLE wins series 4-2,Air Canada Centre,ON,Toronto,A,"","",1610612761,Raptors,Toronto,TOR,raptors,2,4,87,2,1610612739,Cavaliers,Cleveland,CLE,cavaliers,4,2,113,1,2015-16,00,TRUE
