game_date,game_id,game_code,game_status,game_status_text,game_sequence,game_date_est,game_time_est,game_date_time_est,game_date_utc,game_time_utc,game_date_time_utc,away_team_time,home_team_time,day,month_num,week_number,week_name,if_necessary,series_game_number,series_text,arena_name,arena_state,arena_city,postponed_status,branch_link,game_subtype,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_slug,home_team_wins,home_team_losses,home_team_score,home_team_seed,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_slug,away_team_wins,away_team_losses,away_team_score,away_team_seed,season,league_id,PBP
06/12/2017 00:00:00,0041600405,20170612/CLEGSW,3,Final,1,2017-06-12T00:00:00Z,1900-01-01T21:00:00Z,2017-06-12T21:00:00Z,2017-06-12T04:00:00Z,1900-01-02T02:00:00Z,2017-06-13T01:00:00Z,2017-06-12T21:00:00Z,2017-06-12T18:00:00Z,Mon,6,0,"","",Game 5,GSW wins series 4-1,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,4,1,129,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,1,4,120,2,2016-17,00,TRUE
06/09/2017 00:00:00,0041600404,20170609/GSWCLE,3,Final,1,2017-06-09T00:00:00Z,1900-01-01T21:00:00Z,2017-06-09T21:00:00Z,2017-06-09T04:00:00Z,1900-01-02T02:00:00Z,2017-06-10T01:00:00Z,2017-06-09T18:00:00Z,2017-06-09T21:00:00Z,Fri,6,0,"","",Game 4,GSW leads series 3-1,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,1,3,137,2,1610612744,Warriors,Golden State,GSW,warriors,3,1,116,1,2016-17,00,TRUE
06/07/2017 00:00:00,0041600403,20170607/GSWCLE,3,Final,1,2017-06-07T00:00:00Z,1900-01-01T21:00:00Z,2017-06-07T21:00:00Z,2017-06-07T04:00:00Z,1900-01-02T02:00:00Z,2017-06-08T01:00:00Z,2017-06-07T18:00:00Z,2017-06-07T21:00:00Z,Wed,6,0,"","",Game 3,GSW leads series 3-0,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,0,3,113,2,1610612744,Warriors,Golden State,GSW,warriors,3,0,118,1,2016-17,00,TRUE
06/04/2017 00:00:00,0041600402,20170604/CLEGSW,3,Final,1,2017-06-04T00:00:00Z,1900-01-01T20:00:00Z,2017-06-04T20:00:00Z,2017-06-04T04:00:00Z,1900-01-02T01:00:00Z,2017-06-05T00:00:00Z,2017-06-04T20:00:00Z,2017-06-04T17:00:00Z,Sun,6,0,"","",Game 2,GSW leads series 2-0,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,2,0,132,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,0,2,113,2,2016-17,00,TRUE
06/01/2017 00:00:00,0041600401,20170601/CLEGSW,3,Final,1,2017-06-01T00:00:00Z,1900-01-01T21:00:00Z,2017-06-01T21:00:00Z,2017-06-01T04:00:00Z,1900-01-02T02:00:00Z,2017-06-02T01:00:00Z,2017-06-01T21:00:00Z,2017-06-01T18:00:00Z,Thu,6,0,"","",Game 1,GSW leads series 1-0,ORACLE Arena,CA,Oakland,A,"","",1610612744,Warriors,Golden State,GSW,warriors,1,0,113,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,0,1,91,2,2016-17,00,TRUE
05/25/2017 00:00:00,0041600305,20170525/CLEBOS,3,Final,1,2017-05-25T00:00:00Z,1900-01-01T20:30:00Z,2017-05-25T20:30:00Z,2017-05-25T04:00:00Z,1900-01-02T01:30:00Z,2017-05-26T00:30:00Z,2017-05-25T20:30:00Z,2017-05-25T20:30:00Z,Thu,5,0,"","",Game 5,CLE wins series 4-1,TD Garden,MA,Boston,A,"","",1610612738,Celtics,Boston,BOS,celtics,1,4,102,1,1610612739,Cavaliers,Cleveland,CLE,cavaliers,4,1,135,2,2016-17,00,TRUE
05/23/2017 00:00:00,0041600304,20170523/BOSCLE,3,Final,1,2017-05-23T00:00:00Z,1900-01-01T20:30:00Z,2017-05-23T20:30:00Z,2017-05-23T04:00:00Z,1900-01-02T01:30:00Z,2017-05-24T00:30:00Z,2017-05-23T20:30:00Z,2017-05-23T20:30:00Z,Tue,5,0,"","",Game 4,CLE leads series 3-1,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,3,1,112,2,1610612738,Celtics,Boston,BOS,celtics,1,3,99,1,2016-17,00,TRUE
05/22/2017 00:00:00,0041600314,20170522/GSWSAS,3,Final,1,2017-05-22T00:00:00Z,1900-01-01T21:00:00Z,2017-05-22T21:00:00Z,2017-05-22T04:00:00Z,1900-01-02T02:00:00Z,2017-05-23T01:00:00Z,2017-05-22T18:00:00Z,2017-05-22T20:00:00Z,Mon,5,0,"","",Game 4,GSW wins series 4-0,AT&T Center,TX,San Antonio,A,"","",1610612759,Spurs,San Antonio,SAS,spurs,0,4,115,2,1610612744,Warriors,Golden State,GSW,warriors,4,0,129,1,2016-17,00,TRUE
05/21/2017 00:00:00,0041600303,20170521/BOSCLE,3,Final,1,2017-05-21T00:00:00Z,1900-01-01T20:30:00Z,2017-05-21T20:30:00Z,2017-05-21T04:00:00Z,1900-01-02T01:30:00Z,2017-05-22T00:30:00Z,2017-05-21T20:30:00Z,2017-05-21T20:30:00Z,Sun,5,0,"","",Game 3,CLE leads series 2-1,Quicken Loans Arena,OH,Cleveland,A,"","",1610612739,Cavaliers,Cleveland,CLE,cavaliers,2,1,108,2,1610612738,Celtics,Boston,BOS,celtics,1,2,111,1,2016-17,00,TRUE
05/20/2017 00:00:00,0041600313,20170520/GSWSAS,3,Final,1,2017-05-20T00:00:00Z,1900-01-01T21:00:00Z,2017-05-20T21:00:00Z,2017-05-20T04:00:00Z,1900-01-02T02:00:00Z,2017-05-21T01:00:00Z,2017-05-20T18:00:00Z,2017-05-20T20:00:00Z,Sat,5,0,"","",Game 3,GSW leads series 3-0,AT&T Center,TX,San Antonio,A,"","",1610612759,Spurs,San Antonio,SAS,spurs,0,3,108,2,1610612744,Warriors,Golden State,GSW,warriors,3,0,120,1,2016-17,00,TRUE
